,user,posts
0,"nicolechangmin
Verified","💰GIVEAWAY💰 Spend $20 in a single order and stand a chance to win $888 Deliveroo credits 😱 1 winner will be picked per day from now till 28 Feb 2021. I just ordered from @deliveroo_sg yesterday, so I’m praying that I’ll win 😆🙏🏻I’m sure during this CNY period the delivery hotlines will be super busy cause everyone would be ordering all the delicious food to feast at home. So I’m giving away $88 Deliveroo credits* to 2 lucky winners here 😄Simply:1. Like this post2. Follow @deliveroo_sg and @nicolechangmin3. Tag 3 friends/family you’ll like to enjoy food with this CNY🍊 HUAT AH! 🍊Giveaway ends on 9 Feb 2021*Credits will be valid for usage till 28 Feb 2021#DeliverooSG"
1,tiffanyysz,@ivangohh @sharmainensy @nessajacketman 💛✨✨
2,"nicolechangmin
Verified",@tiffanyysz Congrats! Do drop me a DM to claim your prize 🥳
3,jocelynloi,@susangohsk @chamainegoh @seemuigoh @_jlwy_
4,"nicolechangmin
Verified",@jocelynloi Congrats! Do drop me a DM to claim your prize 🥳
5,jocelynloi,@nicolechangmin DM-ed 😍
6,_changgchang,@hayley_sim_ @misssueann @linaeryj food!!!
7,gladyschang_,@aquarius_tsmd @z3shui @arinaho ✨✨✨
8,madjcz,@madelinelau @msmouseypiggy @ngc1ndy 😋😋😋
9,keybunny,@claritykisses @charlene.chua @gracekho_ 🍚
10,clairalyi,Feasting time!! @cherylandkids @tastegraceface @yicheng.yao
11,mellodykoh,@elishevaaaaa @kittyloh @siew_hou
12,shaaaronq,@puayissmiling @feliciathepotato @liowry
13,mellodykoh,@jojo2112_ @lovelights @cherielky
14,omnom.nivore,@celiathamly @cutieger @rayner.ljj
15,mellodykoh,@xelicia @judalim3126 @porklard
16,tingting_lovefood,@omnom.nivore @serraine @tyiming ♥️
17,tingting_lovefood,@melodyngwy @melissakwl @melody.tsk ♥️
18,gniyilc,@ppeeiiwweenn @shi_mint @evelynlpy97
19,chheezels,@sarang_bear @charlottecczn @elephantsunn
20,claritykisses,HUAT AH @keybunny @charlene.chua @gracekho_ 🙌🏻
21,msmouseypiggy,@yinglingeng @gweejolie @jieyingjieyingjieying 🥚
22,sammyleesf,@xuannytang @weihongchan @kennypaulafobic
23,mellodykoh,@thexiaobak @juzpingme @p0ppy.123
24,heytheresparkle,@ameliakyz @kopiogou @fatgluttonz 🔥
25,heytheresparkle,@asdfghjklmelia @amandalkl @jasmine_1970 😍😍😍
26,charissstohhh,@shanxn_ @q_appleharp @f.ishballs
27,thriftdrifts,@cweizhi @caloriesgoaway @niceornotah
28,tingting_lovefood,Thanks for hosting such generous giveaway @nicolechangmin and @deliveroo_sg ♥️! Wish to be one of the lucky winner for $88 Deliveroo credits😋! Would like to order delicious meal and share the joyfulness with my family😍! It definitely sweeten up our CNY celebration😇! @jessaw2909 @cindy_tan93 @serinbahbah0823 ♥️
29,mellodykoh,@littleteochewmama @baby_mlow @blingnsplitz
30,mellodykoh,@vyeofy @xoxojess @_ngela_
31,mellodykoh,@averychiagirl @missyheiditan @iamwinnieou
32,mellodykoh,@hweeified @yinganesh @regik
