,content,author,date,retweets,likes,url
0,Deliveroo's founder is poised to sell millions of pounds-worth of shares in the food delivery app as part of a bloc… https://t.co/DE4VB1d2Nc,SkyNews,2021-03-21 21:33:24,11,38,1373749610620010503
1,Exclusive: Deliveroo founder Will Shu is considering the sale of tens of millions of pounds of shares as part of th… https://t.co/p6wdGlrsP0,MarkKleinmanSky,2021-03-21 20:47:06,4,5,1373737958336032775
2,Deliveroo founder Shu to serve up stake in £7.5bn flotation https://t.co/wphl50jjvc,SkyNews,2021-03-21 20:28:34,3,27,1373733291371692033
3,"Not reviews of deliveroo , but reviews of places ordered from?",jessie_mieka,2021-03-21 23:13:06,0,0,1373774700875288581
4,@Deliveroo Are you planning to make customers reviews available anytime soon?,jessie_mieka,2021-03-21 23:10:45,0,0,1373774109650354178
5,Someone's ordrrd takeway #deliveroo #Bristol https://t.co/au8JJv2JQx,Atiff_uk,2021-03-21 23:09:58,0,0,1373773911700160520
6,@fesshole Every @Deliveroo takeaway arrives cold. We don’t bother anymore.,DamonFrancisUK,2021-03-21 23:07:48,0,0,1373773364746199042
7,"Deliveroo, Uber eats and justeat drivers are the heroes of lockdown",wetsock365,2021-03-21 23:07:35,0,1,1373773313101729792
8,"Will Shu, the founder of Deliveroo, is poised to sell a small part of his 6.2% holding in the company as part of a… https://t.co/1U0zCpC0Eo",ComAware_4S,2021-03-21 23:06:40,0,0,1373773079848091655
9,Deliveroo #Cyberpunk2077 #XboxShare https://t.co/8kKPxoPd4z,ChromeCyberWare,2021-03-21 23:05:57,0,0,1373772900596129795
