,content,author,date,retweets,likes,url
0,"Give a FREE Breakfast for your delivery rider, on us! Just order a McDo Breakfast Meal today, from 6am to 10am, via… https://t.co/8ZPDK8kWh2",McDo_PH,2021-03-15 22:13:47,46,93,1371585445637844992
1,"This March 16, order a McDo meal from McDelivery, GrabFood, and foodpanda, and your rider gets a FREE breakfast fro… https://t.co/s7nMyMlxIH",McDo_PH,2021-03-15 11:00:00,69,166,1371415883508289537
2,Yeh foodpanda walay boht chutya hai fazool service https://t.co/PXEFdghO3u,AngrryBirdd,2021-03-21 17:57:23,0,0,1373695246844895233
3,@nunupaws Hahahah nai nai bhook hartal nai just dont wanna eat.. ahh long story short we ordered lunch from foodpan… https://t.co/s998XckKbW,WoAiNi555,2021-03-21 17:56:08,0,0,1373694931156471816
4,"Why does foodpanda not deliver food to my bed
I don't order 90% of times just bcz I'll have to leave my bed and wal… https://t.co/GYmbUioYAW",brown_mani_,2021-03-21 17:51:54,0,10,1373693867694944257
5,@Raginaphalangee Tried many times and rated 1 star at foodpanda due to bad experience,jawadzz,2021-03-21 17:43:39,0,1,1373691792525295618
6,I have 5 Foodpanda Vouchers to give away. DM for details!,uncannyme__,2021-03-21 17:42:12,0,6,1373691425666252806
7,@uncannyme__ I have 5 Foodpanda Vouchers to give away. DM for details!,AligedlyAwesome,2021-03-21 17:39:44,0,0,1373690805228044288
8,foodpanda is life man uy,koyjadan,2021-03-21 17:25:21,0,1,1373687184142725123
9,"Where did all the ice-cream places go on foodPanda, I really wanted a falooda? 😭",Yeezus_Chwist,2021-03-21 17:12:27,0,0,1373683936866488320
10,Honestly fuck @foodpanda_pk. Deleting this app now. Banda bhooka reh ley.,ArshanShahid,2021-03-21 17:12:10,0,1,1373683867694067717
11,"looked through Careem now and foodpanda, then got up and made paratha rolls for everyone. That's what happens when… https://t.co/fleUGeJGyJ",doctorwhothefuc,2021-03-21 16:37:57,0,13,1373675255298949120
12,not me scrolling foodpanda at this hour to find tomyam for lunch esok :'),wrdahfzil,2021-03-21 16:24:59,0,0,1373671991475990528
