,user,posts,date,time
0,alainlicious,"It’s been a while since I had yogurt beverages, and just tried @heyyogurtsg Chinese New Year series comprising Mango Pomelo 🥭, Mandarin Orange 🍊, Dragonfruit Lychee 💜 and Avocado Brown Sugar 🥑.They are offering FREE Delivery with min spend of $25 via @foodpandasg till end of Jan, or you can go to any nearest Hey Yogurt store to try the Niu drinks, available from now till 28 Feb 2021.",2021-01-27,08:37:21
1,alainlicious,......#foursquare #foursquarefind #stayathome #eatathome #takeaway #foodpandasg #delivery #supportlocal #supportlocalbiz #chinesenewyear #cny2021 #sweettooth #desserts #yogurt #yogurtdrink #yogurtsmoothie #heyyogurt #heyyogurtsg,2021-01-27,08:44:48
2,thornyflavours,Yummm! ❤️,2021-01-28,11:41:07
3,helmimira,"After Helmi got terminated with his previous job during pandemic period, it feel disaster and stress out. Worried if we can't manage our financial. Thank god all is well after he started to work as FT rider.For the first few week, he shared his feelings on how he endure with unreliable people. I got pissed off the way he keep sighing. I told him just stay calm and work as per normal. At the end of the day, you will deserve the good deed you've been through.It is true, some of them don't care about rider situation. Especially when they said, Why you so late, you got no change ah, don't become rider la if you cannot deliver on time. 😑To those no sense of humor, you don't work as a rider. Please don't blindly blame. You wouldn't know what they have been through. Be it waiting time to collect your order or while on the road. If you feel not right, you can always message or call to check the status.To all rider, ride safe and smile behind the mask. If customer not happy with your service, talk to them in a nice way. If you get the crazy wild boar, then you guys start the tactic move back sir! Hehe..Moral of the story, don't sigh and stay cool. 👍Glad that he still continue with his job. 🤲❤🏍#iamproudofyou #frontliner #foodpanda #foodpandasg #hustledemihasil #iloveyouhusband 😘",2020-08-19,13:49:43
4,naem_rohman,Stay strong and ride safe bro.,2020-08-19,14:52:09
5,leanbento,"“my most astounding record was to polish up 26 regular sized mooncakes in three weeks. It got to a point that I didn’t bother cutting them up.”.“Assuming that a regular-sized yolk mooncake contains 800kcal, I had consumed a total of 20,800kcal in addition to my regular meals in a span of three weeks.”.This mooncake monster is none other than Lean Bento’s owner and founder Charles Ng. 😈.Find out more about the clean and lean mid-autumn treat he has in store for all fellow health foodies at charleswanmushi.com. 😍______Enter promo code LEANCORE at the checkout. Promo valid until 30 September 2020. *Applies to Islandwide and same-day deliveries.*Except Seasonal Specials and Multiple Location Delivery Bundles.Go to leanbento.com/order.Call 67504504 or order@leanbento.com for humanised assistance. 💁🏻‍♀️💁🏻‍♂️______Islandwide delivery 🚚🍱💨#leanbento #bungkussg #startasterdelivery #foodpandasg #grabfoodsg #deliveroosg #sgfood #vegetariansg #lazadasg #halalcertified #halalsg #sgsme #stayhomemakansg #hawkersunited2020 #sgmakan #sgbrand #sgbrands #enterprisesg #asmesg #supportlocal #sgunited #mooncakesg #sgmidautumnfestival #halalmooncake",2020-09-05,10:21:44
6,maskon__sg,Keep it coming! Have you thought about going green and using reusable face mask? ♻️😷,2020-09-05,10:22:33
7,himari_jasmine,U selling those mooncake?,2020-09-05,10:39:22
8,leanbento,"Hi @himari_jasmine , yes we would be. More details about our protein moon bites are our boss’ blog post at charleswanmushi.com :)",2020-09-05,15:39:26
9,leanbento,Hi @himari_jasmine it’s out!https://www.instagram.com/p/CE1SdlcgS70/?igshid=1beso3xq2579b,2020-09-07,10:52:37
10,iamhnhm,😍,2020-09-05,10:47:25
11,weijian.wj,😱,2020-09-05,11:26:12
12,rusly.tjohnardi,Yumssss,2020-09-06,02:43:28
13,elim03,👏👏👏👏,2020-09-06,10:11:21
14,kira.lim.corgi,"I'm heading out 🛴for work soon 🙂 Dinner time is peak hour so I can earn more 💰 easily.Hope you enjoy going to work as much as I do. If you're having #mondayblues just think about the #money 🤑🤑 and those who have lost their jobs. 看在钱的份上,去做工吧!#mondaymotivation #mondayvibes #positivevibes #thinkpositive#为了钱 #foodpandasg #sgfooddelivery",2020-11-16,08:29:58
15,kira.lim.corgi,#corgi #corgicommunity #dog #cutepet #cutedog #puppy #pembrokewelshcorgi #cutecorgi #prettycorgi #corgination #corgi_ig #myfavcorgi #sgdog #sgpet #sgcorgi #corgismile #corgilife,2020-11-16,08:37:46
16,yoshi_corgi_yoshi,No off day ah?? How to date u out 😂,2020-11-16,08:55:20
17,kira.lim.corgi,@yoshi_corgi_yoshi you don't sleep so early then we can date after my work ends. I will bring you lots of food 😋😆,2020-11-16,08:57:46
18,yoshi_corgi_yoshi,@kira.lim.corgi 好滴😉别欺骗我的肚子哦😂,2020-11-16,09:01:02
19,kira.lim.corgi,@yoshi_corgi_yoshi 不会啦。我哪敢拿你肚子开玩笑😄,2020-11-16,09:08:07
20,lil_pumpkin_ho,Waaa...very hardworking 👏👏👏,2020-11-16,08:59:42
21,kira.lim.corgi,@lil_pumpkin_ho Money is my biggest motivation 💪🏻,2020-11-16,09:41:28
22,lil_pumpkin_ho,"@kira.lim.corgi 😂😅Jiayou !! For me , treats is my best motivation",2020-11-16,12:06:00
23,wolfy_brownie_maya,I order 20 🍗 liao. What time u deliver? @kira.lim.corgi 😂,2020-11-16,09:06:04
24,kira.lim.corgi,@wolfy_brownie_maya Oops just now I rang your doorbell but you never open door. So I eat on your behalf. Your 20🍗in my tummy liao (burp),2020-11-16,09:09:42
25,yukaparis.sg,So cute❣,2020-11-16,10:01:43
26,thestumpylegs,You deliver to Sengkang?,2020-11-16,11:50:21
27,kira.lim.corgi,@thestumpylegs You want me to deliver what to your heart?,2020-11-16,12:51:49
28,thestumpylegs,@kira.lim.corgi Deliver yourself to my heart 💋,2020-11-16,12:57:35
29,kira.lim.corgi,@thestumpylegs sorry uncle. 我不卖身. I only deliver food food 😋,2020-11-16,14:13:00
30,moca_hachi,Work hard! 💪🏻,2020-11-16,12:21:36
31,dogshopcw,Wha hardworking wor! Everyday work!,2020-11-16,13:49:55
32,kira.lim.corgi,@dogshopcw bo bian. I need money to buy alot of food for myself 😂,2020-11-16,14:11:17
33,dogshopcw,@kira.lim.corgi buy or steal? ☺️☺️☺️,2020-11-16,15:12:23
34,kira.lim.corgi,@dogshopcw buy and steal some😉🤣,2020-11-16,15:32:56
35,cocothemoodycorgi,💯💯💯Kira is our best employee idol 💓💓💓,2020-11-16,15:06:56
36,cocothemoodycorgi,@kira.lim.corgi I will halp to let foodpanda company about your achiebment yeah 😍😍👍🏻👍🏻 don’t forget to share some 20% commission once award is received 🤪😍🤭🤣🤝♥️♥️,2020-11-17,00:32:43
37,kira.lim.corgi,@cocothemoodycorgi No problem 😉,2020-11-17,07:27:19
38,cocothemoodycorgi,@kira.lim.corgi 😘♥️♥️♥️,2020-11-17,16:00:08
39,winnie.loves,"Yummy food at your convenience!Whipped up a quick and simple meal with these Ready to cook meals from @foodpandasg pandamart!@foodpandasg pandamart is really convenient and easy to use! You can basically find almost anything you need on there!From now till 20th Dec, enjoy $4 off your pandamart purchases (min $20) when you use [HOHOHO]",2020-12-17,10:41:52
40,insta_travel_shotz,Excellent setting 👌👌,2020-12-17,15:09:47
41,estherksz,Your flatlay 💯,2020-12-17,15:12:28
42,winnie.loves,@estherksz ❤️❤️ thanks dear,2020-12-18,03:27:26
43,jessmetez,"Oooooo, I want to eat ALL of the pasta!",2020-12-17,15:31:07
44,lindaminjukim,This spread 🤩🤩 looks so delicious,2020-12-17,15:59:21
45,defeatingdarkness2,Pasta looks amazing,2020-12-17,16:56:42
46,goanniewhere,This looks soo good!!,2020-12-17,17:06:19
47,kristythebee,Everything looks so delicious 😋,2020-12-17,17:40:33
48,jetlagjules,That looks so incredibly delicious 😍,2020-12-17,18:45:08
49,alexisjetsets,"You’ve made me crave for pasta! Perhaps, I should order one for myself this weekend 😂",2020-12-17,20:07:04
50,samanthahansen,Looks delish!,2020-12-17,20:45:30
51,thecarryonchronicles,Yum! Love the way you set this up 😍,2020-12-18,00:04:44
52,winnie.loves,@thecarryonchronicles thank you dear ❤️,2020-12-18,00:28:09
53,jenni_life886,Delicious ✨✨,2020-12-18,00:57:15
54,xncnadia,Looks so good omg😍❤️,2020-12-18,04:48:08
55,arthurthechubbyboy,Looks yummy,2020-12-18,05:42:12
56,jan_twentii,Looks so yummy and beautiful photo as always!😍 I love to use foodpanda too!,2020-12-18,06:55:07
57,efolium_global,😍😍,2020-12-18,07:05:06
58,appleohhh,@winnie.loves Looks sooo delicious! 🤤👍🏻 loving your flatlay! 😍,2020-12-18,08:10:09
59,adamba12,This looks like an ideal meal!,2020-12-18,11:46:15
60,florithewanderingsoul,Okay this looks really delish 😍,2020-12-18,18:38:57
61,irenebaby88,"Hey dear, please check your inbox ~~~",2020-12-19,18:11:26
62,meligatorr,Mmmm it looks absolutely delicious ♥️,2020-12-19,22:36:19
63,tamarkask,Wow this looks so yummy. 🍝,2020-12-21,15:30:40
64,eileensneko,Omg you seem like a great cook! It looks so good 😍😍😍,2020-12-22,11:21:33
65,xchubbykitty,Looks delicious 💖,2020-12-17,11:21:59
66,applelaikwan,Look so attractive 😍😍😋😋,2020-12-17,11:23:09
67,mintfuljourney,Looks so yummy babe 😍 gimme!,2020-12-17,11:23:25
68,wanderlustchix,Looks yummy 🤤,2020-12-17,11:25:20
69,winnie.loves,@wanderlustchix thank you dear ❤️,2020-12-18,03:27:21
70,lingweiix,Omg so yummy 😋,2020-12-17,11:41:14
71,winnie.loves,@lingweiix yess bb❤️,2020-12-17,11:57:49
72,peggy.eyes,Yummy😍😍😍😍,2020-12-17,11:58:48
73,thefancyfluff,ready to cook meals are definitely essential to have at home✨😋,2020-12-17,11:59:49
74,winnie.loves,@thefancyfluff yes definitely,2020-12-17,12:04:51
75,winnie.loves,#sgmummyblogger #sgmummy #sgfoodies #sgfoodtrend #sgfood #sgfoodstagram,2020-12-17,13:45:35
76,winnie.loves,@winnie.loves #foodflatlay #flatlayfood #flatlay #flatlaystyle #flatlaysquad #flatlayphotography #flatlaylove,2020-12-17,13:46:08
77,winnie.loves,@winnie.loves #sgfoodiary,2020-12-17,15:10:28
78,itsjustanotherwanderer,Ooo I love a bit of pasta! 😋,2020-12-17,14:32:00
79,clicked_by_riya,Wow 😍🙌,2020-12-17,14:48:52
80,katiesaway,Your photos are all so beautiful 😍,2020-12-17,10:43:22
81,winnie.loves,@katiesaway thank you ❤️,2020-12-17,11:16:44
82,winnie.loves,#clozette #winnielovesflatlay,2020-12-17,10:44:27
83,winnie.loves,#foodpanda #foodpandasg,2020-12-17,10:44:40
84,doitforicecream,I want some please❤️,2020-12-17,10:50:53
85,winnie.loves,@doitforicecream sure dear❤️,2020-12-17,11:16:59
86,chervonkhoo,Looks so yummy 👍,2020-12-17,10:54:22
87,winnie.loves,@chervonkhoo thank you ❤️,2020-12-17,11:17:11
88,michellechun_,Can I have some pasta please? 😋💖,2020-12-17,10:55:57
89,winnie.loves,@michellechun_ hhaha yes bb❤️,2020-12-17,11:17:06
90,mymypitta,Wow this looks really good ! Would love to have some,2020-12-17,11:00:49
91,winnie.loves,@mymypitta yay sure ❤️,2020-12-17,11:16:48
92,wafflenessa,Wow looks yummy! 😍,2020-12-17,11:03:28
93,_carmenyong_,Looks so yummy! 😋😋,2020-12-17,11:05:26
